absolutely	adv 绝对地
accommodation	n 住宿，调解
allocate	v 分配
ankle	n 踝，踝关节
betray	v 背叛
bound	adj 必然的；有义务的 v 束缚；跳跃
cattle	n（总称）牛，牲口
centigrade	adj 摄氏度的 n 摄氏度
classical	adj 古典的，传统的
conference	n 会议
confidential	adj 机密的；表示信任的
cozy	adj 温馨的，安逸的 v 取悦
crash	n 撞车；坠落 v 碰撞；坠落；崩溃
cure	v 治愈
entrepreneur	n 企业家，创业者
equally	adv 相等地；平等地
fascinate	v 着迷
favorable	adj 赞同的
guarantee	v 保证；担保；提供保修 n 保修单
honestly	adv 真诚地
imply	v 暗示
management	n 经营，管理者
mess	n 凌乱 v 弄脏
metal	n 金属，合金
midnight	n 子夜
mountainside	n 山坡
necessarily	adv 必定
necklace	n 项链
nerve	n 神经；胆量 v 给……以力量，使振作
oval	adj 椭圆形的 n 椭圆形
oxygen	n 氧气
pineapple	n 凤梨，菠萝
plus	prep 加 n 加号；有利因素 adj 正的
posture	n 姿势；看法 v 装模作样
primitive	adj 原始的；简陋的 n 原始人
product	n 产品；产物
professional	adj 职业的 n 专业人员
pronunciation	n 发音
quality	n 质量 adj 优质的
razor	n 剃刀，刮胡刀
regain	v 重新获得；上涨
remark	n 评论 v 议论
response	n 答复
scholar	n 学者；公费生
scissors	n 剪刀
security	n 安全；保护措施
similarity	n 类似
skate	v 滑冰 n 冰鞋
starvation	n 饥饿
steel	n 钢铁 v 下决心应对（不愉快的事）
stem	n 茎；（树）干 v 起源于
submit	v 提交
tension	n（精神上的）紧张；紧张局面
translation	n 翻译，转变
urgent	adj 急迫的
walnut	n 核桃，胡桃
waterfall	n 瀑布
watery	adj 平淡的
